# Date:     2026-04-23 18:04:40
# Database: ocvs
# Target:   lmc_cepheids
# Query:    (mode='F')  LIMIT 600
# Objects:  600
# Columns:
 ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1
OGLE-LMC-CEP-0002	F	04:31:47.05	-69:49:09.5	15.691	16.420	0.729	3.1181490	0.0000109	6000.34799	0.261
OGLE-LMC-CEP-0005	F	04:35:31.52	-69:44:05.8	14.651	15.425	0.774	5.6119491	0.0000135	6004.75854	0.508
OGLE-LMC-CEP-0012	F	04:37:48.74	-67:12:51.9	15.474	16.075	0.601	2.6601839	0.0000023	6001.07578	0.691
OGLE-LMC-CEP-0017	F	04:38:56.83	-69:41:18.3	15.237	15.899	0.662	3.6772904	0.0000061	6001.21645	0.594
OGLE-LMC-CEP-0018	F	04:38:58.98	-68:57:24.8	15.181	15.994	0.813	4.0478369	0.0000185	6002.75795	0.247
OGLE-LMC-CEP-0021	F	04:39:30.98	-69:15:42.6	14.709	15.494	0.785	5.4579579	0.0000170	6002.24087	0.447
OGLE-LMC-CEP-0023	F	04:40:47.48	-68:59:08.4	16.315	17.081	0.766	1.7018187	0.0000034	6000.65340	0.418
OGLE-LMC-CEP-0025	F	04:40:54.37	-69:06:54.3	15.338	16.131	0.793	3.7334902	0.0000089	6003.70986	0.368
OGLE-LMC-CEP-0026	F	04:41:12.24	-68:47:59.1	15.497	16.094	0.597	2.5706724	0.0000035	6002.26494	0.619
OGLE-LMC-CEP-0027	F	04:41:19.48	-67:20:08.1	15.037	15.641	0.604	3.5229124	0.0000050	6001.73458	0.636
OGLE-LMC-CEP-0028	F	04:41:26.93	-69:37:54.3	16.617	17.258	0.641	1.2629537	0.0000009	6000.35235	0.510
OGLE-LMC-CEP-0033	F	04:41:57.93	-69:26:00.8	14.386	15.216	0.830	7.1807603	0.0000289	6002.62615	0.496
OGLE-LMC-CEP-0034	F	04:42:01.91	-70:38:49.0	13.751	14.673	0.922	11.2552749	0.0000646	6007.28824	0.488
OGLE-LMC-CEP-0035	F	04:42:06.31	-67:58:11.6	14.376	15.154	0.778	6.9435423	0.0000256	6005.25522	0.403
OGLE-LMC-CEP-0037	F	04:42:14.88	-68:26:10.6	15.512	16.294	0.782	3.0669100	0.0000094	6002.25863	0.273
OGLE-LMC-CEP-0039	F	04:42:38.01	-68:30:59.3	15.395	16.059	0.664	3.1477882	0.0000075	6002.07933	0.348
OGLE-LMC-CEP-0040	F	04:42:47.26	-69:49:00.5	14.670	15.413	0.743	5.1651068	0.0000088	6004.55294	0.577
OGLE-LMC-CEP-0041	F	04:42:53.74	-67:25:59.8	15.530	16.253	0.723	2.9106644	0.0000173	6002.12866	0.179
OGLE-LMC-CEP-0042	F	04:43:01.62	-70:10:01.6	15.667	16.360	0.693	2.5770257	0.0000037	6002.33638	0.631
OGLE-LMC-CEP-0044	F	04:43:10.48	-67:14:00.9	14.925	15.522	0.597	4.0357552	0.0000075	6003.70515	0.618
OGLE-LMC-CEP-0045	F	04:43:10.74	-67:16:58.0	16.146	16.834	0.688	1.8669280	0.0000027	6001.52638	0.497
OGLE-LMC-CEP-0046	F	04:43:20.86	-69:13:47.9	13.948	14.745	0.797	8.8436041	0.0000500	6006.17876	0.502
OGLE-LMC-CEP-0048	F	04:43:31.45	-69:37:28.9	14.465	15.157	0.692	5.5482140	0.0000132	6002.79336	0.552
OGLE-LMC-CEP-0049	F	04:43:35.57	-70:41:46.6	15.316	16.192	0.876	3.8491608	0.0000136	6002.77336	0.229
OGLE-LMC-CEP-0050	F	04:43:40.32	-69:34:14.2	14.195	15.021	0.826	7.8454429	0.0000283	6005.48757	0.467
OGLE-LMC-CEP-0053	F	04:44:04.82	-69:50:29.1	15.685	16.412	0.727	2.6338747	0.0000023	6001.37846	0.694
